affinity-inactive,affinity_6LUQ_H-Chembl24,affinity_6LUQ_H-gail_sm,affinity_6LUQ_H-gail_sf,affinity-active
-8.881,-9.08,-10.32,-9.552,-7.627
-9.4,-10.4,-8.677,-10.55,-9.511
-9.985,-10.98,-9.934,-9.735,-9.974
-10.27,-9.054,-12,-7.653,-9.155
-9.714,-13.4,-8.567,-6.675,-7.699
-9.781,-8.075,-8.777,-9.252,-11.46
-7.839,-10.99,-9.574,-10.49,-8.067
-9.887,-9.038,-8.304,-7.302,-10.64
-8.372,-8.611,-10.1,-9.049,-10.19
-9.88,-10.34,-10.44,-9.622,-9.311
-10.08,-7.473,-8.036,-10.96,-9.513
-9.857,-8.242,-5.748,-14.06,-9.59
-9.521,-10.13,-8.363,-12.36,-10.05
-6.632,-8.024,-9.036,-16.71,-10.11
-9.735,-9.316,-6.452,-9.518,-9.707
-7.609,-8.153,-8.208,-12,-9.518
-10.36,-11.98,-8.704,-8.018,-9.338
-10.16,-9.368,-9.044,-8.342,-7.108
-7.907,-7.922,-8.524,-8.321,-9.799
-10.39,-9.076,-6.701,-8.469,-10.58
-10.34,-8.876,-7.77,-8.853,-8.841
-9.263,-9.592,-9.359,-9.048,-11.93
-7.258,-13.94,-6.878,-8.194,-11.17
-7.888,-8.06,-7.755,-13.92,-9.405
-9.101,-10.23,-8.582,-12.79,-13.48
-8.951,-7.603,-8.68,-9.77,-9.773
-6.677,-7.861,-7.691,-9.361,-7.131
-7.18,-7.47,-7.661,-9.907,-10.59
-8.276,-9.893,-13.4,-11.3,-9.614
-8.953,-10.15,-8.687,-9.643,-7.99
-7.12,-8.701,-7.932,-8.149,-10.55
-8.666,-11.58,-10.07,-10.03,-8.763
-8.491,-8.849,-9.567,-9.047,-9.253
-8.833,-7.648,-7.272,-9.688,-9.759
-9.244,-10.23,-9.013,-8.725,-7.707
-10.16,-8.825,-12.02,-12.3,-9.272
-7.406,-8.413,-8.872,-10.31,-9.117
-9.514,-9.189,-7.446,-9.796,-9.336
-9.424,-9.688,-9.586,-11.26,-10.82
-9.072,-10.65,-6.943,-12.48,-9.369
-8.899,-6.018,-9.564,-10.83,-13.7
-9.416,-8.551,-8.904,-13.39,-8.479
-7.061,-9.724,-9.637,-7.619,-7.984
-6.282,-11.47,-13.09,-8.298,-14.98
-9.564,-9.095,-8.878,-16.35,-8.212
-9.101,-9.362,-6.637,-8.76,-14.65
-9.006,-7.923,-10.55,-7.265,-9.41
-9.647,-8.999,-8.967,-9.509,-10.54
-9.192,-9.193,-7.703,-8.073,-10.07
-9.147,-8.872,-7.216,-12.14,-8.918
-10.35,-8.988,-9.4,-13.12,-9.86
-10.58,-9.344,-8.555,-12.2,-10.59
-9.207,-10.62,-8.27,-9.585,-9.609
-8.589,-9.384,-9.909,-12.64,-7.366
-7.655,-9.743,-9.132,-9.21,-8.861
-9.822,-9.487,-9.241,-8.554,-8.842
-8.969,-8.901,-10.67,-10.53,-8.61
-9.206,-12.69,-10.5,-9.376,-10.65
-10.47,-7.916,-10.31,-7.683,-10.18
-8.106,-7.821,-9.637,-8.287,-9.808
-8.246,-8.937,-11.87,-9.33,-11.45
-9.415,-9.462,-8.801,-8.421,-9.843
-9.113,-9.795,-10.89,-10.18,-11.12
-8.003,-14.86,-9.013,-9.991,-8.928
